Fecha (UTC) 	Latitud [º] 	Longitud [º] 	Profundidad [km] 	Magnitud [*] 
2014-07-29 00:47:18 	-20.13 	-70.48 	32 	4.6
2014-06-16 09:17:46 	-23.97 	-69.56 	91 	5
2014-09-02 17:50:31 	-23.45 	-69.34 	79 	4.3
2014-04-10 00:10:34 	-20.34 	-70.87 	16 	4.7
2014-06-05 20:19:29 	-20.34 	-70.22 	40 	5
2014-04-03 06:56:51 	-20.36 	-70.03 	43 	4.4
2014-04-02 03:20:48 	-20.12 	-70.39 	30 	4.5
2014-07-21 15:28:32 	-20.27 	-69.98 	51 	4
2014-04-02 00:21:02 	-20.06 	-71.02 	2 	5.1
2014-05-30 11:41:38 	-21.31 	-69.97 	68 	5.3
2014-04-03 06:54:32 	-20.62 	-70.64 	30 	4.7
2014-04-03 09:23:23 	-20.59 	-70.77 	16 	5.2
2014-04-03 02:56:08 	-20.74 	-70.54 	13 	5.3
2014-04-09 04:44:54 	-20.4 	-70.48 	32 	4.3
2014-04-13 07:44:05 	-21.16 	-68.62 	124 	4.5
2014-04-10 11:48:39 	-20.23 	-70.91 	37 	4.3
2014-04-03 20:28:40 	-20.07 	-70.55 	34 	4.2
2014-04-11 08:39:46 	-20.55 	-70.81 	38 	4.6
2014-05-30 15:32:27 	-21.3 	-70.0 	60 	5.5
2014-05-25 14:55:44 	-23.41 	-68.88 	109 	4
2014-04-15 16:17:11 	-20.23 	-70.85 	22 	4.3
2014-04-07 03:25:07 	-20.04 	-69.29 	102 	4.3
2014-04-04 14:20:25 	-20.37 	-69.86 	50 	4
2014-04-07 14:03:44 	-20.14 	-70.9 	39 	5
2014-11-22 06:50:55 	-20.03 	-71.12 	16 	4.9
2014-10-15 04:57:20 	-25.0 	-69.95 	64 	4.4
2014-04-15 16:09:34 	-20.2 	-70.86 	40 	5.3
2014-04-18 23:45:38 	-20.66 	-70.95 	47 	4.4
2014-07-22 02:57:18 	-23.28 	-68.93 	96 	4.2
2014-04-02 19:50:23 	-20.06 	-70.52 	28 	4.6
2014-05-17 09:11:07 	-20.0 	-70.97 	37 	5.5
2014-04-11 23:56:39 	-20.71 	-70.72 	22 	4.5
2014-04-03 05:51:44 	-20.76 	-70.42 	36 	5.5
2014-04-25 03:01:38 	-20.28 	-70.98 	38 	4.6
2014-06-04 17:04:29 	-20.64 	-70.79 	24 	4.9
2014-03-18 21:33:08 	-20.02 	-70.84 	20 	5
2014-07-13 08:46:41 	-24.07 	-69.19 	91 	4.8
2014-04-23 18:15:16 	-25.78 	-70.76 	74 	4.6
2014-09-18 18:14:17 	-20.23 	-70.84 	39 	4.2
2014-08-17 05:43:37 	-20.07 	-69.25 	105 	4.2
2014-04-07 13:47:34 	-20.14 	-70.92 	20 	5
2014-04-03 04:17:59 	-20.59 	-70.67 	12 	5
2014-04-18 08:12:42 	-20.53 	-70.38 	39 	4.1
2014-04-05 07:01:27 	-20.27 	-70.22 	40 	4.1
2014-05-04 04:46:48 	-20.01 	-71.06 	32 	4.9
2014-05-05 11:21:18 	-20.2 	-70.74 	41 	5.1
2014-04-03 11:45:37 	-20.34 	-69.92 	48 	4
2014-04-03 05:26:14 	-20.8 	-70.65 	38 	6.3
2014-04-05 05:28:58 	-20.6 	-70.67 	21 	4.6
2014-04-03 01:58:31 	-20.29 	-70.61 	26 	6.3
2014-04-03 05:34:33 	-20.47 	-70.57 	20 	4.6
2014-05-09 21:09:55 	-20.19 	-70.43 	34 	4.1
2014-04-03 13:49:23 	-20.48 	-70.49 	28 	4.5
2014-11-29 13:30:17 	-29.78 	-71.28 	60 	4.8
2014-04-03 11:50:48 	-20.66 	-70.34 	32 	4.7
2014-02-05 11:51:05 	-21.38 	-69.52 	40 	5.2
2014-05-12 11:54:30 	-20.65 	-70.92 	36 	4.6
2014-04-28 02:47:30 	-20.51 	-70.79 	27 	4
2014-09-21 09:18:08 	-20.09 	-69.04 	113 	4.4
2014-05-12 16:27:27 	-29.63 	-71.23 	65 	4.3
2014-06-28 15:47:41 	-20.34 	-69.68 	53 	4.2
2014-04-03 23:01:45 	-20.31 	-70.51 	21 	4.1
2014-04-02 04:46:20 	-20.13 	-70.79 	39 	5.7
2014-04-04 01:37:51 	-20.62 	-70.57 	40 	6.1
2014-04-15 04:22:06 	-20.04 	-70.46 	30 	4.1
2014-04-05 05:44:56 	-20.16 	-70.54 	43 	5.4
2014-04-02 00:37:51 	-20.03 	-70.52 	34 	5.1
2014-04-03 02:43:15 	-20.52 	-70.44 	28 	7.6
2014-04-24 04:56:50 	-20.09 	-70.91 	36 	4.9
2014-08-19 23:12:54 	-20.73 	-70.61 	22 	4.4
2014-04-03 09:08:57 	-20.28 	-70.47 	37 	4.8
2014-08-15 02:03:48 	-20.34 	-68.8 	122 	4.5
2014-06-18 04:02:26 	-20.21 	-70.89 	19 	4.5
2014-07-18 05:24:09 	-20.15 	-70.99 	39 	4.7
2014-04-15 16:21:17 	-20.19 	-70.83 	28 	5.3
2014-06-08 21:24:14 	-20.22 	-70.85 	40 	4.3
2014-11-16 10:55:10 	-20.81 	-69.95 	45 	4
2014-07-21 00:21:28 	-20.15 	-70.54 	40 	4.7
2014-04-10 22:11:01 	-20.55 	-70.97 	33 	4.3
2014-04-05 08:16:31 	-20.28 	-70.03 	52 	4.3
2014-08-17 18:30:26 	-20.14 	-70.37 	40 	4.2
2014-04-03 02:59:54 	-20.57 	-70.43 	28 	4.5
2014-04-16 03:19:33 	-20.19 	-70.88 	36 	4.4
2014-07-29 13:01:35 	-20.12 	-70.37 	22 	4
2014-04-08 05:43:55 	-20.54 	-70.7 	26 	4.8
2014-04-08 07:55:23 	-20.58 	-70.73 	35 	4.4
2014-04-04 01:37:52 	-20.62 	-70.61 	33 	6.1
2014-04-15 17:12:19 	-20.2 	-70.9 	40 	4.6
2014-08-14 00:02:55 	-20.16 	-70.02 	51 	5.6
2014-04-02 04:58:14 	-20.16 	-70.07 	44 	4.2
2014-05-22 14:21:44 	-20.33 	-69.89 	57 	4.1
2014-04-08 10:14:32 	-20.56 	-70.98 	38 	5.2
2014-08-13 01:02:29 	-20.43 	-69.46 	79 	4.4
2014-04-11 21:43:47 	-20.28 	-70.47 	30 	4.3
2014-04-08 01:53:08 	-20.36 	-69.89 	52 	4
2014-08-19 23:51:51 	-20.73 	-70.71 	41 	4.2
2014-05-10 03:12:03 	-20.17 	-69.23 	95 	4.6
2014-04-02 07:03:44 	-20.15 	-70.1 	46 	4.6
2014-06-06 12:37:58 	-28.96 	-71.4 	57 	4.7
2014-07-09 08:04:39 	-22.92 	-70.46 	39 	4.1
2014-07-01 01:17:34 	-20.47 	-70.14 	39 	4
2014-04-09 11:06:14 	-20.78 	-70.81 	15 	4.9
2014-01-07 03:43:23 	-20.99 	-69.73 	97 	5.2
2014-03-17 05:44:33 	-20.01 	-70.83 	10 	4.5
2014-04-09 11:14:44 	-20.62 	-70.92 	23 	5
2014-07-25 01:16:50 	-29.64 	-71.46 	35 	4
2014-04-05 00:11:50 	-20.35 	-69.95 	44 	4
2014-04-03 04:04:47 	-20.35 	-70.54 	26 	4.5
2014-04-14 05:56:18 	-20.73 	-70.79 	26 	4.9
2014-04-02 08:21:19 	-20.08 	-70.47 	28 	4
2014-07-08 16:04:20 	-20.78 	-70.52 	38 	4.6
2014-04-03 23:37:51 	-20.18 	-70.63 	41 	5.1
2014-04-07 13:43:20 	-20.13 	-70.91 	36 	6.1
2014-04-03 03:11:19 	-20.61 	-70.56 	36 	5.1
2014-03-20 18:41:33 	-24.03 	-69.25 	96 	5.4
2014-07-26 21:25:13 	-22.97 	-69.88 	53 	4.4
2014-12-02 03:56:47 	-20.28 	-71.06 	33 	4.6
2014-04-03 14:34:05 	-20.6 	-70.93 	36 	4.8
2014-09-28 09:49:04 	-21.83 	-68.78 	129 	4.7
2014-05-07 15:56:24 	-22.3 	-68.79 	119 	4.5
2014-04-05 04:05:03 	-20.71 	-70.69 	30 	4.7
2014-07-23 21:39:08 	-20.24 	-68.74 	122 	5.5
2014-04-05 00:33:58 	-20.17 	-70.52 	37 	4.8
2014-04-03 05:51:45 	-20.77 	-70.44 	31 	5.5
2014-04-04 09:53:25 	-20.62 	-70.7 	20 	4.6
2014-04-02 00:33:47 	-20.19 	-70.82 	23 	5.4
2014-04-16 03:14:11 	-20.18 	-70.85 	37 	5.3
2014-04-03 05:26:15 	-20.8 	-70.67 	30 	6.3
2014-04-24 00:24:47 	-20.01 	-69.15 	94 	4.2
2014-04-11 12:00:52 	-20.08 	-70.51 	40 	5.3
2014-08-16 10:10:49 	-20.03 	-71.02 	42 	4.7
2014-04-03 23:13:21 	-20.17 	-70.37 	35 	4.3
2014-02-12 11:43:10 	-22.35 	-68.81 	100 	5.7
2014-04-06 14:06:09 	-20.41 	-70.98 	45 	5
2014-04-11 10:49:09 	-23.25 	-68.92 	112 	4.4
2014-02-23 23:40:02 	-23.85 	-68.78 	106 	5.3
2014-08-31 18:53:41 	-20.52 	-70.1 	48 	4
2014-08-09 12:40:10 	-23.15 	-70.64 	42 	4.2
2014-10-17 13:15:18 	-20.18 	-69.02 	106 	4.2
2014-04-11 00:01:44 	-20.72 	-70.65 	39 	6.2
2014-04-13 12:11:31 	-20.58 	-70.72 	22 	5.2
2014-04-17 13:20:20 	-22.53 	-69.09 	99 	5.2
2014-05-16 17:08:31 	-23.5 	-68.85 	115 	5.5
2014-05-27 03:34:41 	-20.86 	-70.47 	30 	4.7
2014-05-30 11:41:39 	-21.31 	-69.98 	62 	5.2
2014-05-30 15:32:28 	-21.3 	-70.0 	60 	5.5
2014-06-01 17:04:23 	-22.63 	-69.54 	38 	4
2014-07-13 20:54:14 	-20.24 	-70.31 	41 	5.6
2014-08-16 09:42:58 	-21.74 	-69.14 	90 	4.7
2014-08-23 03:44:59 	-21.8 	-70.13 	65 	4.5
2014-08-23 04:45:33 	-20.19 	-69.08 	100 	5.7
2014-09-04 09:26:52 	-20.7 	-70.34 	38 	5.1
2014-10-23 21:31:56 	-20.25 	-69.2 	102 	5
2014-10-26 02:52:53 	-20.57 	-70.55 	45 	4.7
2014-11-03 04:28:14 	-21.62 	-69.51 	80 	4.6
2014-11-10 11:38:59 	-21.63 	-68.72 	111 	5.6
2014-11-24 19:23:46 	-20.09 	-69.23 	98 	4.9
2014-11-25 08:55:00 	-20.54 	-68.76 	111 	5
2014-12-03 09:38:37 	-22.61 	-70.2 	70 	5.2
2014-12-16 04:43:48 	-20.47 	-68.96 	99 	4.7
2014-12-17 08:52:39 	-21.9 	-69.91 	57 	4.1
2014-12-18 06:24:38 	-20.38 	-68.87 	103 	5.2
2014-12-19 11:56:36 	-21.65 	-70.36 	38 	4.2
2015-10-15 18:01:31 	-22.74 	-68.97 	118 	4.5
2015-08-24 02:42:48 	-29.84 	-71.24 	45 	4.3
2015-05-13 14:40:20 	-29.92 	-71.28 	60 	4.5
2015-11-10 23:48:26 	-29.5 	-71.97 	53 	5
2015-12-03 21:09:46 	-20.78 	-69.25 	104 	4
2015-08-10 09:40:07 	-29.48 	-71.22 	55 	5.1
2015-11-07 07:04:31 	-29.47 	-72.35 	15 	6
2015-10-03 11:21:02 	-29.86 	-71.64 	41 	5.3
2015-08-24 05:13:49 	-29.88 	-71.25 	45 	5.2
2015-12-28 14:36:47 	-29.33 	-71.88 	35 	4.4
2015-01-23 01:25:39 	-29.84 	-71.46 	64 	4.4
2015-06-09 12:38:51 	-20.21 	-70.94 	31 	4.5
2015-12-12 03:48:13 	-25.54 	-70.48 	58 	4.3
2015-10-28 09:08:00 	-23.15 	-70.61 	31 	4.5
2015-05-14 15:08:04 	-28.79 	-71.46 	52 	5.3
2015-01-22 16:15:37 	-22.99 	-70.22 	48 	4.5
2015-09-17 16:52:20 	-29.93 	-71.96 	30 	5.3
2015-02-04 01:45:06 	-29.41 	-70.63 	83 	4.1
2015-05-23 06:42:31 	-20.23 	-70.86 	32 	4.4
2015-03-14 16:03:48 	-27.86 	-70.89 	47 	5
2015-11-15 21:48:01 	-22.56 	-68.91 	102 	4.1
2015-10-28 19:45:04 	-23.25 	-69.29 	75 	4.7
2015-10-17 07:01:31 	-20.58 	-70.63 	17 	4.5
2015-07-30 10:32:55 	-21.19 	-68.73 	112 	5.1
2015-04-02 07:42:02 	-28.65 	-70.81 	45 	4.8
2015-06-09 13:59:56 	-20.22 	-70.93 	35 	4.4
2015-12-03 08:32:45 	-29.84 	-71.54 	48 	5.1
2015-07-02 05:19:28 	-22.69 	-69.05 	105 	4
2015-01-20 17:34:43 	-23.41 	-70.46 	47 	5.2
2015-11-22 22:16:54 	-23.63 	-69.05 	97 	5.1
2015-11-11 01:54:36 	-29.46 	-72.12 	33 	6.9
2015-11-27 21:45:13 	-24.74 	-70.55 	39 	5
2015-03-02 16:53:45 	-27.91 	-71.03 	34 	5.2
2015-09-19 05:06:45 	-29.65 	-72.28 	30 	6.3
2015-05-22 19:39:33 	-20.2 	-70.85 	40 	5.3
2015-03-25 19:29:11 	-29.49 	-69.72 	119 	5
2015-01-21 17:33:38 	-29.8 	-71.25 	60 	4.1
2015-06-17 07:21:16 	-20.25 	-70.74 	24 	4.4
2015-03-17 23:43:53 	-29.67 	-71.5 	50 	4.3
2015-07-27 15:23:21 	-29.5 	-70.77 	86 	4.7
2015-05-28 09:55:14 	-20.14 	-70.1 	44 	4.1
2015-03-05 21:30:32 	-29.32 	-71.11 	60 	5.3
2015-02-04 13:09:05 	-29.38 	-71.01 	79 	4.3
2015-02-04 13:37:55 	-21.21 	-69.4 	75 	4.2
2015-10-29 10:28:21 	-28.78 	-70.19 	91 	4
