Fecha (UTC) 	Latitud [º] 	Longitud [º] 	Profundidad [km] 	Magnitud [*]
2016-11-09 12:21:31 	-36.58 	-73.55 	28 	4.9
2016-07-12 02:23:27 	-42.2 	-73.38 	40 	4.5
2016-02-10 03:15:02 	-36.85 	-74.14 	30 	4.4
2016-08-12 18:49:03 	-40.36 	-72.96 	61 	4.1
2016-07-05 18:15:23 	-41.69 	-73.6 	39 	4.5
2016-02-10 11:10:59 	-37.0 	-73.61 	16 	4.6
2016-01-16 00:37:25 	-36.71 	-72.56 	67 	4
2016-05-17 18:41:52 	-38.25 	-74.09 	33 	5
2016-05-26 13:25:32 	-38.42 	-73.34 	39 	4.4
2016-08-27 20:14:10 	-38.15 	-73.39 	29 	4.9
2016-09-15 15:31:07 	-38.09 	-73.47 	32 	4.8
2016-09-17 03:55:57 	-37.28 	-73.89 	42 	5.1
2016-11-08 17:09:55 	-38.45 	-74.17 	15 	5
2016-11-21 12:51:49 	-38.16 	-74.02 	30 	4.9
2016-10-20 04:38:17 	-36.46 	-72.58 	69 	4.3
2016-11-08 04:55:43 	-36.62 	-73.73 	15 	5.9
2016-11-08 05:16:18 	-36.7 	-73.52 	21 	4.6
2016-11-08 05:44:43 	-36.7 	-73.59 	10 	4.9
2016-11-08 07:08:01 	-36.66 	-73.61 	27 	5.1
2016-11-09 11:04:10 	-36.57 	-73.58 	20 	4.5
2016-12-25 14:22:23 	-43.52 	-74.39 	30 	7.6
2017-07-04 16:05:50 	-35.57 	-73.94 	15 	5.1
2017-07-12 09:08:16 	-35.3 	-73.38 	22 	5.1
2017-05-20 14:13:04 	-38.98 	-73.47 	12 	4.5
2017-01-03 21:19:08 	-43.41 	-74.56 	38 	5.7
2017-08-05 10:56:49 	-39.56 	-72.34 	98 	4.1
2017-02-19 04:03:32 	-37.52 	-74.08 	36 	4.8
2017-03-08 14:42:24 	-38.16 	-73.7 	37 	4.4
2017-06-29 21:38:06 	-37.33 	-72.15 	127 	4.1
2017-12-10 02:09:30 	-36.05 	-73.06 	51 	5
2017-02-19 19:07:28 	-37.59 	-73.66 	31 	4.8
2017-03-27 03:03:32 	-36.16 	-72.05 	71 	5.1
2017-05-14 20:12:40 	-36.84 	-73.85 	18 	4.7
2017-08-30 03:15:37 	-37.47 	-73.35 	29 	5
2018-04-05 06:32:43 	-42.62 	-73.93 	36 	5
2018-06-02 06:17:19 	-38.27 	-73.75 	29 	5.1
2020-06-17 00:50:46 	-36.66 	-73.13 	29 	4.7
2020-12-27 21:39:17 	-39.33 	-74.82 	26 	6.2
2020-03-17 08:12:01 	-36.19 	-73.29 	42 	5.6 
